field_season	date_collected	species	plot	sex	weight_in_grams	scale_calibrated
1978	19780108	DM	4	f	37	yes
1978	19780108	DM	4	m		
1978	19780108	DM	4	f	48	yes
1978	19780108	DO	4	m	52	yes
1978	19780108	OL	4	m	35	yes
2013	20130716	DM	2	f		
2013	20130716	DM	7	m	33	yes
2013	20130716	DM	3	m		
2013	20130716	DM	1	m		
2013	20130718	DM	3	m	40	yes
2013	20130718	DM	7	m	48	yes
2013	20130718	DM	4	f	29	yes
2013	20130718	DM	6	f	37	yes
2013	20130819	DO	8	f	52	yes
2013	20131017	DO	3	f	33	yes
2013	20131017	DO	3	f	50	yes
2013	20131112	DS	9	f	117	yes
2013	20131113	DS	11	f	126	yes
2013	20131113	DS	17	m	132	no
2013	20131113	DS	14	f	113	no
2013	20131113	DS	11	f	122	yes
2013	20131113	DS	4	f	107	yes
2013	20131113	DS	4	f	115	yes
2013	20131210	DO	9	f	40	yes
2013	20131210	DO	1	m	45	yes
2013	20131211	DO	8	f	41	yes
2014	20140108	NA	2			
2014	20140108	DM	2	m	44	yes
2014	20140108	PF	2	f	7	yes
2014	20140108	DM	2	m	45	yes
2014	20140108	OT	2			
2014	20140108	DS	2	m	157	no
2014	20140108	OX	2			
2014	20140109	DM	1	m	40	yes
2014	20140109	DM	1	f	36	yes
2014	20140218	NA	2	m	218	no
2014	20140218	PF	2	f	7	yes
2014	20140218	DM	2	m	52	yes
2014	20140313	DM	1	f	51	yes
2014	20140313	DM	1	f	44	yes
2014	20140313	DS	1	f	146	yes
2015	20150311	PF	3	m	8	yes
2015	20150408	NA	3	f		
2015	20150506		3			
2015	20150518	NA	3	f	182	yes
2015	20150609	OT	3	f	29	yes
2015	20150708	NA	3	f	115	yes
2015	20150708	NA	3	m	190	yes